"","corpus","version","mfw","features","ngrams","distances","media"
"6","cuentos-espanoles","fusion",100,"w",2,"dist.delta",100
"7","cuentos-espanoles","fusion",100,"w",3,"dist.delta",100
"51","cuentos-espanoles","fusion",5000,"c",3,"dist.delta",100
"53","cuentos-espanoles","fusion",5000,"w",1,"dist.delta",100
"59","cuentos-espanoles","fusion",7000,"c",3,"dist.delta",100
"61","cuentos-espanoles","fusion",7000,"w",1,"dist.delta",100
"67","cuentos-espanoles","fusion",10000,"c",3,"dist.delta",100
"69","cuentos-espanoles","fusion",10000,"w",1,"dist.delta",100
"86","cuentos-espanoles","fusion",500,"w",2,"dist.eder",100
"87","cuentos-espanoles","fusion",500,"w",3,"dist.eder",100
"123","cuentos-espanoles","fusion",5000,"c",3,"dist.eder",100
"131","cuentos-espanoles","fusion",7000,"c",3,"dist.eder",100
"139","cuentos-espanoles","fusion",10000,"c",3,"dist.eder",100
"159","cuentos-espanoles","fusion",500,"w",3,"dist.minmax",100
"221","cuentos-espanoles","fusion",100,"w",1,"dist.wurzburg",100
"222","cuentos-espanoles","fusion",100,"w",2,"dist.wurzburg",100
"223","cuentos-espanoles","fusion",100,"w",3,"dist.wurzburg",100
"226","cuentos-espanoles","fusion",500,"c",2,"dist.wurzburg",100
"227","cuentos-espanoles","fusion",500,"c",3,"dist.wurzburg",100
"228","cuentos-espanoles","fusion",500,"c",4,"dist.wurzburg",100
"229","cuentos-espanoles","fusion",500,"w",1,"dist.wurzburg",100
"230","cuentos-espanoles","fusion",500,"w",2,"dist.wurzburg",100
"231","cuentos-espanoles","fusion",500,"w",3,"dist.wurzburg",100
"232","cuentos-espanoles","fusion",500,"w",4,"dist.wurzburg",100
"234","cuentos-espanoles","fusion",1000,"c",2,"dist.wurzburg",100
"235","cuentos-espanoles","fusion",1000,"c",3,"dist.wurzburg",100
"236","cuentos-espanoles","fusion",1000,"c",4,"dist.wurzburg",100
"237","cuentos-espanoles","fusion",1000,"w",1,"dist.wurzburg",100
"238","cuentos-espanoles","fusion",1000,"w",2,"dist.wurzburg",100
"239","cuentos-espanoles","fusion",1000,"w",3,"dist.wurzburg",100
"240","cuentos-espanoles","fusion",1000,"w",4,"dist.wurzburg",100
"242","cuentos-espanoles","fusion",2000,"c",2,"dist.wurzburg",100
"243","cuentos-espanoles","fusion",2000,"c",3,"dist.wurzburg",100
"244","cuentos-espanoles","fusion",2000,"c",4,"dist.wurzburg",100
"245","cuentos-espanoles","fusion",2000,"w",1,"dist.wurzburg",100
"246","cuentos-espanoles","fusion",2000,"w",2,"dist.wurzburg",100
"247","cuentos-espanoles","fusion",2000,"w",3,"dist.wurzburg",100
"248","cuentos-espanoles","fusion",2000,"w",4,"dist.wurzburg",100
"250","cuentos-espanoles","fusion",3000,"c",2,"dist.wurzburg",100
"251","cuentos-espanoles","fusion",3000,"c",3,"dist.wurzburg",100
"252","cuentos-espanoles","fusion",3000,"c",4,"dist.wurzburg",100
"253","cuentos-espanoles","fusion",3000,"w",1,"dist.wurzburg",100
"254","cuentos-espanoles","fusion",3000,"w",2,"dist.wurzburg",100
"255","cuentos-espanoles","fusion",3000,"w",3,"dist.wurzburg",100
"256","cuentos-espanoles","fusion",3000,"w",4,"dist.wurzburg",100
"258","cuentos-espanoles","fusion",4000,"c",2,"dist.wurzburg",100
"259","cuentos-espanoles","fusion",4000,"c",3,"dist.wurzburg",100
"260","cuentos-espanoles","fusion",4000,"c",4,"dist.wurzburg",100
"261","cuentos-espanoles","fusion",4000,"w",1,"dist.wurzburg",100
"262","cuentos-espanoles","fusion",4000,"w",2,"dist.wurzburg",100
"263","cuentos-espanoles","fusion",4000,"w",3,"dist.wurzburg",100
"264","cuentos-espanoles","fusion",4000,"w",4,"dist.wurzburg",100
"266","cuentos-espanoles","fusion",5000,"c",2,"dist.wurzburg",100
"267","cuentos-espanoles","fusion",5000,"c",3,"dist.wurzburg",100
"268","cuentos-espanoles","fusion",5000,"c",4,"dist.wurzburg",100
"269","cuentos-espanoles","fusion",5000,"w",1,"dist.wurzburg",100
"270","cuentos-espanoles","fusion",5000,"w",2,"dist.wurzburg",100
"271","cuentos-espanoles","fusion",5000,"w",3,"dist.wurzburg",100
"272","cuentos-espanoles","fusion",5000,"w",4,"dist.wurzburg",100
"274","cuentos-espanoles","fusion",7000,"c",2,"dist.wurzburg",100
"275","cuentos-espanoles","fusion",7000,"c",3,"dist.wurzburg",100
"276","cuentos-espanoles","fusion",7000,"c",4,"dist.wurzburg",100
"277","cuentos-espanoles","fusion",7000,"w",1,"dist.wurzburg",100
"278","cuentos-espanoles","fusion",7000,"w",2,"dist.wurzburg",100
"279","cuentos-espanoles","fusion",7000,"w",3,"dist.wurzburg",100
"280","cuentos-espanoles","fusion",7000,"w",4,"dist.wurzburg",100
"282","cuentos-espanoles","fusion",10000,"c",2,"dist.wurzburg",100
"283","cuentos-espanoles","fusion",10000,"c",3,"dist.wurzburg",100
"284","cuentos-espanoles","fusion",10000,"c",4,"dist.wurzburg",100
"285","cuentos-espanoles","fusion",10000,"w",1,"dist.wurzburg",100
"286","cuentos-espanoles","fusion",10000,"w",2,"dist.wurzburg",100
"287","cuentos-espanoles","fusion",10000,"w",3,"dist.wurzburg",100
"288","cuentos-espanoles","fusion",10000,"w",4,"dist.wurzburg",100
"14","cuentos-espanoles","fusion",500,"w",2,"dist.delta",98
"15","cuentos-espanoles","fusion",500,"w",3,"dist.delta",98
"19","cuentos-espanoles","fusion",1000,"c",3,"dist.delta",98
"22","cuentos-espanoles","fusion",1000,"w",2,"dist.delta",98
"27","cuentos-espanoles","fusion",2000,"c",3,"dist.delta",98
"43","cuentos-espanoles","fusion",4000,"c",3,"dist.delta",98
"78","cuentos-espanoles","fusion",100,"w",2,"dist.eder",98
"85","cuentos-espanoles","fusion",500,"w",1,"dist.eder",98
"94","cuentos-espanoles","fusion",1000,"w",2,"dist.eder",98
"95","cuentos-espanoles","fusion",1000,"w",3,"dist.eder",98
"99","cuentos-espanoles","fusion",2000,"c",3,"dist.eder",98
"107","cuentos-espanoles","fusion",3000,"c",3,"dist.eder",98
"108","cuentos-espanoles","fusion",3000,"c",4,"dist.eder",98
"115","cuentos-espanoles","fusion",4000,"c",3,"dist.eder",98
"12","cuentos-espanoles","fusion",500,"c",4,"dist.delta",96
"28","cuentos-espanoles","fusion",2000,"c",4,"dist.delta",96
"29","cuentos-espanoles","fusion",2000,"w",1,"dist.delta",96
"36","cuentos-espanoles","fusion",3000,"c",4,"dist.delta",96
"45","cuentos-espanoles","fusion",4000,"w",1,"dist.delta",96
"100","cuentos-espanoles","fusion",2000,"c",4,"dist.eder",96
"109","cuentos-espanoles","fusion",3000,"w",1,"dist.eder",96
"116","cuentos-espanoles","fusion",4000,"c",4,"dist.eder",96
"117","cuentos-espanoles","fusion",4000,"w",1,"dist.eder",96
"124","cuentos-espanoles","fusion",5000,"c",4,"dist.eder",96
"125","cuentos-espanoles","fusion",5000,"w",1,"dist.eder",96
"132","cuentos-espanoles","fusion",7000,"c",4,"dist.eder",96
"133","cuentos-espanoles","fusion",7000,"w",1,"dist.eder",96
"140","cuentos-espanoles","fusion",10000,"c",4,"dist.eder",96
"141","cuentos-espanoles","fusion",10000,"w",1,"dist.eder",96
"13","cuentos-espanoles","fusion",500,"w",1,"dist.delta",94
"16","cuentos-espanoles","fusion",500,"w",4,"dist.delta",94
"23","cuentos-espanoles","fusion",1000,"w",3,"dist.delta",94
"30","cuentos-espanoles","fusion",2000,"w",2,"dist.delta",94
"31","cuentos-espanoles","fusion",2000,"w",3,"dist.delta",94
"35","cuentos-espanoles","fusion",3000,"c",3,"dist.delta",94
"37","cuentos-espanoles","fusion",3000,"w",1,"dist.delta",94
"38","cuentos-espanoles","fusion",3000,"w",2,"dist.delta",94
"39","cuentos-espanoles","fusion",3000,"w",3,"dist.delta",94
"40","cuentos-espanoles","fusion",3000,"w",4,"dist.delta",94
"46","cuentos-espanoles","fusion",4000,"w",2,"dist.delta",94
"47","cuentos-espanoles","fusion",4000,"w",3,"dist.delta",94
"48","cuentos-espanoles","fusion",4000,"w",4,"dist.delta",94
"52","cuentos-espanoles","fusion",5000,"c",4,"dist.delta",94
"54","cuentos-espanoles","fusion",5000,"w",2,"dist.delta",94
"55","cuentos-espanoles","fusion",5000,"w",3,"dist.delta",94
"56","cuentos-espanoles","fusion",5000,"w",4,"dist.delta",94
"60","cuentos-espanoles","fusion",7000,"c",4,"dist.delta",94
"62","cuentos-espanoles","fusion",7000,"w",2,"dist.delta",94
"63","cuentos-espanoles","fusion",7000,"w",3,"dist.delta",94
"64","cuentos-espanoles","fusion",7000,"w",4,"dist.delta",94
"68","cuentos-espanoles","fusion",10000,"c",4,"dist.delta",94
"70","cuentos-espanoles","fusion",10000,"w",2,"dist.delta",94
"71","cuentos-espanoles","fusion",10000,"w",3,"dist.delta",94
"72","cuentos-espanoles","fusion",10000,"w",4,"dist.delta",94
"92","cuentos-espanoles","fusion",1000,"c",4,"dist.eder",94
"101","cuentos-espanoles","fusion",2000,"w",1,"dist.eder",94
"102","cuentos-espanoles","fusion",2000,"w",2,"dist.eder",94
"103","cuentos-espanoles","fusion",2000,"w",3,"dist.eder",94
"110","cuentos-espanoles","fusion",3000,"w",2,"dist.eder",94
"111","cuentos-espanoles","fusion",3000,"w",3,"dist.eder",94
"118","cuentos-espanoles","fusion",4000,"w",2,"dist.eder",94
"119","cuentos-espanoles","fusion",4000,"w",3,"dist.eder",94
"126","cuentos-espanoles","fusion",5000,"w",2,"dist.eder",94
"127","cuentos-espanoles","fusion",5000,"w",3,"dist.eder",94
"128","cuentos-espanoles","fusion",5000,"w",4,"dist.eder",94
"134","cuentos-espanoles","fusion",7000,"w",2,"dist.eder",94
"135","cuentos-espanoles","fusion",7000,"w",3,"dist.eder",94
"136","cuentos-espanoles","fusion",7000,"w",4,"dist.eder",94
"142","cuentos-espanoles","fusion",10000,"w",2,"dist.eder",94
"143","cuentos-espanoles","fusion",10000,"w",3,"dist.eder",94
"144","cuentos-espanoles","fusion",10000,"w",4,"dist.eder",94
"150","cuentos-espanoles","fusion",100,"w",2,"dist.minmax",94
"160","cuentos-espanoles","fusion",500,"w",4,"dist.minmax",94
"167","cuentos-espanoles","fusion",1000,"w",3,"dist.minmax",94
"168","cuentos-espanoles","fusion",1000,"w",4,"dist.minmax",94
"175","cuentos-espanoles","fusion",2000,"w",3,"dist.minmax",94
"176","cuentos-espanoles","fusion",2000,"w",4,"dist.minmax",94
"182","cuentos-espanoles","fusion",3000,"w",2,"dist.minmax",94
"183","cuentos-espanoles","fusion",3000,"w",3,"dist.minmax",94
"184","cuentos-espanoles","fusion",3000,"w",4,"dist.minmax",94
"190","cuentos-espanoles","fusion",4000,"w",2,"dist.minmax",94
"192","cuentos-espanoles","fusion",4000,"w",4,"dist.minmax",94
"198","cuentos-espanoles","fusion",5000,"w",2,"dist.minmax",94
"199","cuentos-espanoles","fusion",5000,"w",3,"dist.minmax",94
"200","cuentos-espanoles","fusion",5000,"w",4,"dist.minmax",94
"206","cuentos-espanoles","fusion",7000,"w",2,"dist.minmax",94
"207","cuentos-espanoles","fusion",7000,"w",3,"dist.minmax",94
"208","cuentos-espanoles","fusion",7000,"w",4,"dist.minmax",94
"214","cuentos-espanoles","fusion",10000,"w",2,"dist.minmax",94
"215","cuentos-espanoles","fusion",10000,"w",3,"dist.minmax",94
"216","cuentos-espanoles","fusion",10000,"w",4,"dist.minmax",94
"218","cuentos-espanoles","fusion",100,"c",2,"dist.wurzburg",94
"224","cuentos-espanoles","fusion",100,"w",4,"dist.wurzburg",94
"10","cuentos-espanoles","fusion",500,"c",2,"dist.delta",92
"20","cuentos-espanoles","fusion",1000,"c",4,"dist.delta",92
"32","cuentos-espanoles","fusion",2000,"w",4,"dist.delta",92
"44","cuentos-espanoles","fusion",4000,"c",4,"dist.delta",92
"82","cuentos-espanoles","fusion",500,"c",2,"dist.eder",92
"83","cuentos-espanoles","fusion",500,"c",3,"dist.eder",92
"84","cuentos-espanoles","fusion",500,"c",4,"dist.eder",92
"90","cuentos-espanoles","fusion",1000,"c",2,"dist.eder",92
"91","cuentos-espanoles","fusion",1000,"c",3,"dist.eder",92
"93","cuentos-espanoles","fusion",1000,"w",1,"dist.eder",92
"96","cuentos-espanoles","fusion",1000,"w",4,"dist.eder",92
"98","cuentos-espanoles","fusion",2000,"c",2,"dist.eder",92
"104","cuentos-espanoles","fusion",2000,"w",4,"dist.eder",92
"106","cuentos-espanoles","fusion",3000,"c",2,"dist.eder",92
"114","cuentos-espanoles","fusion",4000,"c",2,"dist.eder",92
"120","cuentos-espanoles","fusion",4000,"w",4,"dist.eder",92
"122","cuentos-espanoles","fusion",5000,"c",2,"dist.eder",92
"130","cuentos-espanoles","fusion",7000,"c",2,"dist.eder",92
"138","cuentos-espanoles","fusion",10000,"c",2,"dist.eder",92
"158","cuentos-espanoles","fusion",500,"w",2,"dist.minmax",92
"173","cuentos-espanoles","fusion",2000,"w",1,"dist.minmax",92
"191","cuentos-espanoles","fusion",4000,"w",3,"dist.minmax",92
"217","cuentos-espanoles","fusion",100,"c",1,"dist.wurzburg",92
"225","cuentos-espanoles","fusion",500,"c",1,"dist.wurzburg",92
"233","cuentos-espanoles","fusion",1000,"c",1,"dist.wurzburg",92
"241","cuentos-espanoles","fusion",2000,"c",1,"dist.wurzburg",92
"249","cuentos-espanoles","fusion",3000,"c",1,"dist.wurzburg",92
"257","cuentos-espanoles","fusion",4000,"c",1,"dist.wurzburg",92
"265","cuentos-espanoles","fusion",5000,"c",1,"dist.wurzburg",92
"273","cuentos-espanoles","fusion",7000,"c",1,"dist.wurzburg",92
"281","cuentos-espanoles","fusion",10000,"c",1,"dist.wurzburg",92
"11","cuentos-espanoles","fusion",500,"c",3,"dist.delta",90
"24","cuentos-espanoles","fusion",1000,"w",4,"dist.delta",90
"112","cuentos-espanoles","fusion",3000,"w",4,"dist.eder",90
"149","cuentos-espanoles","fusion",100,"w",1,"dist.minmax",90
"155","cuentos-espanoles","fusion",500,"c",3,"dist.minmax",90
"156","cuentos-espanoles","fusion",500,"c",4,"dist.minmax",90
"163","cuentos-espanoles","fusion",1000,"c",3,"dist.minmax",90
"165","cuentos-espanoles","fusion",1000,"w",1,"dist.minmax",90
"166","cuentos-espanoles","fusion",1000,"w",2,"dist.minmax",90
"174","cuentos-espanoles","fusion",2000,"w",2,"dist.minmax",90
"180","cuentos-espanoles","fusion",3000,"c",4,"dist.minmax",90
"181","cuentos-espanoles","fusion",3000,"w",1,"dist.minmax",90
"188","cuentos-espanoles","fusion",4000,"c",4,"dist.minmax",90
"189","cuentos-espanoles","fusion",4000,"w",1,"dist.minmax",90
"196","cuentos-espanoles","fusion",5000,"c",4,"dist.minmax",90
"197","cuentos-espanoles","fusion",5000,"w",1,"dist.minmax",90
"204","cuentos-espanoles","fusion",7000,"c",4,"dist.minmax",90
"205","cuentos-espanoles","fusion",7000,"w",1,"dist.minmax",90
"212","cuentos-espanoles","fusion",10000,"c",4,"dist.minmax",90
"213","cuentos-espanoles","fusion",10000,"w",1,"dist.minmax",90
"2","cuentos-espanoles","fusion",100,"c",2,"dist.delta",88
"5","cuentos-espanoles","fusion",100,"w",1,"dist.delta",88
"79","cuentos-espanoles","fusion",100,"w",3,"dist.eder",88
"157","cuentos-espanoles","fusion",500,"w",1,"dist.minmax",88
"164","cuentos-espanoles","fusion",1000,"c",4,"dist.minmax",88
"171","cuentos-espanoles","fusion",2000,"c",3,"dist.minmax",88
"172","cuentos-espanoles","fusion",2000,"c",4,"dist.minmax",88
"179","cuentos-espanoles","fusion",3000,"c",3,"dist.minmax",88
"187","cuentos-espanoles","fusion",4000,"c",3,"dist.minmax",88
"195","cuentos-espanoles","fusion",5000,"c",3,"dist.minmax",88
"203","cuentos-espanoles","fusion",7000,"c",3,"dist.minmax",88
"211","cuentos-espanoles","fusion",10000,"c",3,"dist.minmax",88
"151","cuentos-espanoles","fusion",100,"w",3,"dist.minmax",87.5
"219","cuentos-espanoles","fusion",100,"c",3,"dist.wurzburg",87.5
"8","cuentos-espanoles","fusion",100,"w",4,"dist.delta",86
"18","cuentos-espanoles","fusion",1000,"c",2,"dist.delta",86
"21","cuentos-espanoles","fusion",1000,"w",1,"dist.delta",86
"26","cuentos-espanoles","fusion",2000,"c",2,"dist.delta",86
"34","cuentos-espanoles","fusion",3000,"c",2,"dist.delta",86
"42","cuentos-espanoles","fusion",4000,"c",2,"dist.delta",86
"50","cuentos-espanoles","fusion",5000,"c",2,"dist.delta",86
"58","cuentos-espanoles","fusion",7000,"c",2,"dist.delta",86
"66","cuentos-espanoles","fusion",10000,"c",2,"dist.delta",86
"77","cuentos-espanoles","fusion",100,"w",1,"dist.eder",86
"80","cuentos-espanoles","fusion",100,"w",4,"dist.eder",86
"88","cuentos-espanoles","fusion",500,"w",4,"dist.eder",86
"220","cuentos-espanoles","fusion",100,"c",4,"dist.wurzburg",85.5
"3","cuentos-espanoles","fusion",100,"c",3,"dist.delta",84
"74","cuentos-espanoles","fusion",100,"c",2,"dist.eder",84
"146","cuentos-espanoles","fusion",100,"c",2,"dist.minmax",84
"147","cuentos-espanoles","fusion",100,"c",3,"dist.minmax",84
"154","cuentos-espanoles","fusion",500,"c",2,"dist.minmax",84
"162","cuentos-espanoles","fusion",1000,"c",2,"dist.minmax",84
"170","cuentos-espanoles","fusion",2000,"c",2,"dist.minmax",84
"178","cuentos-espanoles","fusion",3000,"c",2,"dist.minmax",84
"186","cuentos-espanoles","fusion",4000,"c",2,"dist.minmax",84
"194","cuentos-espanoles","fusion",5000,"c",2,"dist.minmax",84
"202","cuentos-espanoles","fusion",7000,"c",2,"dist.minmax",84
"210","cuentos-espanoles","fusion",10000,"c",2,"dist.minmax",84
"4","cuentos-espanoles","fusion",100,"c",4,"dist.delta",82
"75","cuentos-espanoles","fusion",100,"c",3,"dist.eder",82
"152","cuentos-espanoles","fusion",100,"w",4,"dist.minmax",82
"148","cuentos-espanoles","fusion",100,"c",4,"dist.minmax",81.5
"76","cuentos-espanoles","fusion",100,"c",4,"dist.eder",73.5
"73","cuentos-espanoles","fusion",100,"c",1,"dist.eder",65.6666666666667
"81","cuentos-espanoles","fusion",500,"c",1,"dist.eder",65.6666666666667
"89","cuentos-espanoles","fusion",1000,"c",1,"dist.eder",65.6666666666667
"97","cuentos-espanoles","fusion",2000,"c",1,"dist.eder",65.6666666666667
"105","cuentos-espanoles","fusion",3000,"c",1,"dist.eder",65.6666666666667
"113","cuentos-espanoles","fusion",4000,"c",1,"dist.eder",65.6666666666667
"121","cuentos-espanoles","fusion",5000,"c",1,"dist.eder",65.6666666666667
"129","cuentos-espanoles","fusion",7000,"c",1,"dist.eder",65.6666666666667
"137","cuentos-espanoles","fusion",10000,"c",1,"dist.eder",65.6666666666667
"145","cuentos-espanoles","fusion",100,"c",1,"dist.minmax",65.6666666666667
"153","cuentos-espanoles","fusion",500,"c",1,"dist.minmax",65.6666666666667
"161","cuentos-espanoles","fusion",1000,"c",1,"dist.minmax",65.6666666666667
"169","cuentos-espanoles","fusion",2000,"c",1,"dist.minmax",65.6666666666667
"177","cuentos-espanoles","fusion",3000,"c",1,"dist.minmax",65.6666666666667
