"","corpus","version","mfw","features","ngrams","distances","media"
"261","novelas-espanolas","combination",4000,"w",1,"dist.wurzburg",95.8216783216783
"253","novelas-espanolas","combination",3000,"w",1,"dist.wurzburg",95.1923076923077
"259","novelas-espanolas","combination",4000,"c",3,"dist.wurzburg",95.1923076923077
"267","novelas-espanolas","combination",5000,"c",3,"dist.wurzburg",95.1923076923077
"275","novelas-espanolas","combination",7000,"c",3,"dist.wurzburg",95.1923076923077
"283","novelas-espanolas","combination",10000,"c",3,"dist.wurzburg",95.1923076923077
"269","novelas-espanolas","combination",5000,"w",1,"dist.wurzburg",94.2832167832168
"277","novelas-espanolas","combination",7000,"w",1,"dist.wurzburg",94.2832167832168
"285","novelas-espanolas","combination",10000,"w",1,"dist.wurzburg",94.2832167832168
"245","novelas-espanolas","combination",2000,"w",1,"dist.wurzburg",92.8846153846154
"268","novelas-espanolas","combination",5000,"c",4,"dist.wurzburg",91.9114219114219
"276","novelas-espanolas","combination",7000,"c",4,"dist.wurzburg",91.9114219114219
"284","novelas-espanolas","combination",10000,"c",4,"dist.wurzburg",91.9114219114219
"264","novelas-espanolas","combination",4000,"w",4,"dist.wurzburg",91.8473193473193
"237","novelas-espanolas","combination",1000,"w",1,"dist.wurzburg",91.1421911421911
"246","novelas-espanolas","combination",2000,"w",2,"dist.wurzburg",91.1421911421911
"254","novelas-espanolas","combination",3000,"w",2,"dist.wurzburg",91.1421911421911
"262","novelas-espanolas","combination",4000,"w",2,"dist.wurzburg",91.1421911421911
"263","novelas-espanolas","combination",4000,"w",3,"dist.wurzburg",91.1421911421911
"270","novelas-espanolas","combination",5000,"w",2,"dist.wurzburg",91.1421911421911
"271","novelas-espanolas","combination",5000,"w",3,"dist.wurzburg",91.1421911421911
"278","novelas-espanolas","combination",7000,"w",2,"dist.wurzburg",91.1421911421911
"279","novelas-espanolas","combination",7000,"w",3,"dist.wurzburg",91.1421911421911
"286","novelas-espanolas","combination",10000,"w",2,"dist.wurzburg",91.1421911421911
"287","novelas-espanolas","combination",10000,"w",3,"dist.wurzburg",91.1421911421911
"272","novelas-espanolas","combination",5000,"w",4,"dist.wurzburg",91.0780885780886
"280","novelas-espanolas","combination",7000,"w",4,"dist.wurzburg",91.0780885780886
"288","novelas-espanolas","combination",10000,"w",4,"dist.wurzburg",91.0780885780886
"234","novelas-espanolas","combination",1000,"c",2,"dist.wurzburg",90.3088578088578
"242","novelas-espanolas","combination",2000,"c",2,"dist.wurzburg",90.3088578088578
"250","novelas-espanolas","combination",3000,"c",2,"dist.wurzburg",90.3088578088578
"251","novelas-espanolas","combination",3000,"c",3,"dist.wurzburg",90.3088578088578
"258","novelas-espanolas","combination",4000,"c",2,"dist.wurzburg",90.3088578088578
"266","novelas-espanolas","combination",5000,"c",2,"dist.wurzburg",90.3088578088578
"274","novelas-espanolas","combination",7000,"c",2,"dist.wurzburg",90.3088578088578
"282","novelas-espanolas","combination",10000,"c",2,"dist.wurzburg",90.3088578088578
"256","novelas-espanolas","combination",3000,"w",4,"dist.wurzburg",89.539627039627
"229","novelas-espanolas","combination",500,"w",1,"dist.wurzburg",88.0011655011655
"243","novelas-espanolas","combination",2000,"c",3,"dist.wurzburg",88.0011655011655
"244","novelas-espanolas","combination",2000,"c",4,"dist.wurzburg",88.0011655011655
"252","novelas-espanolas","combination",3000,"c",4,"dist.wurzburg",88.0011655011655
"260","novelas-espanolas","combination",4000,"c",4,"dist.wurzburg",88.0011655011655
"255","novelas-espanolas","combination",3000,"w",3,"dist.wurzburg",87.9370629370629
"43","novelas-espanolas","combination",4000,"c",3,"dist.delta",87.1561771561772
"51","novelas-espanolas","combination",5000,"c",3,"dist.delta",87.1561771561772
"59","novelas-espanolas","combination",7000,"c",3,"dist.delta",87.1561771561772
"67","novelas-espanolas","combination",10000,"c",3,"dist.delta",87.1561771561772
"93","novelas-espanolas","combination",1000,"w",1,"dist.eder",86.462703962704
"235","novelas-espanolas","combination",1000,"c",3,"dist.wurzburg",86.462703962704
"231","novelas-espanolas","combination",500,"w",3,"dist.wurzburg",86.3344988344988
"247","novelas-espanolas","combination",2000,"w",3,"dist.wurzburg",86.3344988344988
